04361,"ﾜﾀﾘﾁﾖｳﾔｸﾊﾞ","亘理町役場","宮城県","亘理郡亘理町","字下小路","７－４（亘理郵便局私書箱第１０号）","9892393","98923","亘理",1,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｱｻﾋﾂｳｼﾝｼﾔ ﾅｺﾞﾔｼｼﾔ","株式会社　旭通信社　名古屋支社","愛知県","名古屋市中区","栄","４丁目１４－５松下中日ビル３階","4608448","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｲﾁﾌﾞﾝ","株式会社　市文","愛知県","名古屋市中区","丸の内","２丁目１３－３１","4608540","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｺﾊﾞﾔｼﾀｲﾔｸﾎﾞｳ","株式会社　小林大薬房","愛知県","名古屋市中区","丸の内","３丁目１７－１６","4608570","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｽｽﾞﾀﾝ","株式会社　鈴丹","愛知県","名古屋市中区","新栄","１丁目４－２３","4608460","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝｺﾝﾀｸﾄﾚﾝｽﾞ","株式会社　日本コンタクトレンズ","愛知県","名古屋市中区","錦","２丁目４－３錦パークビル１３階","4608603","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾏﾙｱｲｼﾖｳｶｲ","株式会社　丸愛商会","愛知県","名古屋市中区","錦","１丁目８－４８","4608587","460  ","名古屋中",0,0,5
23106,"ｷﾖｳﾂｳｼﾞﾑｾﾝﾀ-","共通事務センター","愛知県","名古屋市中区","大須","３丁目１－１０","4608791","460  ","名古屋中",0,0,5
23106,"ｺｸｻｲﾛ-ﾀﾘ-ﾘﾖｺｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼﾃﾝ","国際ロータリー旅行　株式会社　名古屋支店","愛知県","名古屋市中区","錦","３丁目２４－１７日本生命栄町ビル３Ｆ","4608611","460  ","名古屋中",0,0,5
23106,"ｼﾝｻｶｴｹﾝｾﾞｲｼﾞﾑｼﾖ","新栄県税事務所","愛知県","名古屋市中区","新栄","２丁目２－２４","4608473","460  ","名古屋中",0,0,5
23106,"ﾀｲｾｲｹﾝｾﾂ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼﾃﾝ","大成建設　株式会社　名古屋支店","愛知県","名古屋市中区","栄","２丁目３－１名古屋広小路ビル","4608420","460  ","名古屋中",0,0,5
23106,"ﾁﾕｳﾌﾞﾃﾚﾒﾂｾ-ｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎﾝﾃﾝ","中部テレメッセージ　株式会社　本店","愛知県","名古屋市中区","新栄町","１丁目５日石栄ビルディング４階","4608462","460  ","名古屋中",0,0,5
23106,"ﾅﾙｶﾜ ｶﾌﾞｼｷｶﾞｲｼﾔ","鳴河　株式会社","愛知県","名古屋市中区","錦","２丁目７－８","4608601","460  ","名古屋中",0,0,5
23106,"ﾆﾎﾝｼﾝﾊﾟﾝﾆｺｽｶ-ﾄﾞｾﾝﾀ-","日本信販ニコスカードセンター","愛知県","名古屋市中区","錦","３丁目５－２１布袋ビル錦ＨＯＴＥＩビル７Ｆ","4608620","460  ","名古屋中",0,0,5
23106,"ﾋﾟｱ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼｷﾖｸ","ぴあ　株式会社　名古屋支局","愛知県","名古屋市中区","錦","３丁目１１－２３弘洋ビル４階","4608518","460  ","名古屋中",0,0,5
23106,"ﾐｷｻﾝｷﾞﾖｳ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼﾃﾝ","三木産業　株式会社　名古屋支店","愛知県","名古屋市中区","丸の内","２丁目１３－４","4608543","460  ","名古屋中",0,0,5
23106,"ﾔｶﾞﾐｼﾖｳｼﾞ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾎﾝｼﾔ","八神商事　株式会社　本社","愛知県","名古屋市中区","丸の内","３丁目１１－４","4608574","460  ","名古屋中",0,0,5
23106,"ﾕｳｶﾝﾄﾞｳ ｶﾌﾞｼｷｶﾞｲｼﾔ","悠閑堂　株式会社","愛知県","名古屋市中区","金山","５丁目８－１","4608380","460  ","名古屋中",0,0,5
23106,"ﾘﾂﾁ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｶﾝﾘｾﾝﾀ-","リッチ　株式会社　名古屋管理センター","愛知県","名古屋市中区","新栄","２丁目１－９雲竜フレックスビル西館１２０５","4608472","460  ","名古屋中",0,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ｶｽｶﾞｲ","株式会社　春日井","愛知県","名古屋市中区","錦","２丁目６－６（名古屋中郵便局私書箱第１３２号）","4608682","46091","名古屋中",1,0,5
23106,"ｶﾌﾞｼｷｶﾞｲｼﾔ ﾆﾎﾝﾁﾖｳｷｼﾝﾖｳｷﾞﾝｺｳ ﾅｺﾞﾔｼﾃﾝ","株式会社　日本長期信用銀行　名古屋支店","愛知県","名古屋市中区","丸の内","１丁目１７－１９長銀ビル（名古屋中郵便局私書箱第１２０号）","4608656","46091","名古屋中",1,0,5
23106,"ﾀｷﾋﾖ- ｶﾌﾞｼｷｶﾞｲｼﾔ","タキヒヨー　株式会社","愛知県","名古屋市中区","丸の内","２丁目２０－１９（名古屋中郵便局私書箱第１１２号）","4608663","46091","名古屋中",1,0,5
23106,"ﾆﾁﾒﾝ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼｼﾔ","ニチメン　株式会社　名古屋支社","愛知県","名古屋市中区","錦","３丁目１－１８（名古屋中郵便局私書箱第５０号）","4608701","46091","名古屋中",1,0,5
23106,"ﾆﾂｼﾖｳｲﾜｲ ｶﾌﾞｼｷｶﾞｲｼﾔ ﾅｺﾞﾔｼｼﾔ","日商岩井　株式会社　名古屋支社","愛知県","名古屋市中区","錦","１丁目５－１３（名古屋中郵便局私書箱第７２号）","4608668","46091","名古屋中",1,0,5
27210,"ｵｵｻｶｺｸｻｲﾀﾞｲｶﾞｸ","大阪国際大学","大阪府","枚方市","杉","３丁目５０－１","5730192","57301","枚方東",0,0,5
